,description,city,image_count,room_price,adult_occupancy,child_occupancy,property_id,num_amenities,zones,descr_len,deluxe,num_simhotel,wifi,ac,breakfast,service_value,acceptance_rate,response_label,Apartment,Homestay,Hotel,House,Lodge,Resort,Spa,Villa
0,"Sangsey Valley Resort is Located at the wonderful location of upper delo icchey dara gaon .Delo Hill is an extended nature park with very well maintained gardens, fountains, views of Mt. Kanchenjungha and River Teesta. There is a huge statue of Lord Hanuman near Delo. You would also find a very nice statue of Lord Buddha on the way while returning from Delo to Kalimpong. Monasteries or Buddhist gumphas form a very important feature of the surrounding and there are three important gumphas-Tharpa Choling Monastery, Zong Dog Palri Fo-Brang Monastery and Tongsa Gompa that stands witness to the journey of Buddhism in India. There is also the Lepcha Museum & Monastery situated in nearby Big Dhara which showcases everything about the Lepcha community and culture.",Kalimpong,3.0,3167.0,3.0,2.0,67368.0,1.0,2.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,"What should you know? Enjoy unmatched service at affordable prices at Amantran Hotel. Laundry, doctor-on-call, car parking, and a travel desk for all the travel-related enquiries are available for guests. The rooms are hygienic and well-maintained. There is provision for cable-connected television and a remote control in every room. Veg and non-veg delicacies are served in the dining area or in the comfort of your room.Why should you stay here? Hotel Amantran is a value for money and comfortable accommodation. The Govindpuri Railway Station is the nearest railway station, located at a distance of 3.5 km, while the airport is 15 km far.",Kanpur,0.0,815.0,2.0,2.0,28733.0,2.0,0.0,103.0,0.0,6.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,"What should you know? A budget hotel, this accommodation facility is located in the heart of Jodhpur City and is easily accessible from all major tourist attractions. The hotel offers highly personalised services and delicious food. The hotel offers accommodation in its AC and non-AC rooms, which are well-maintained, hygienic, neat, and equipped with basic facilities like private bathroom with toiletries, geyser, wardrobe, and much more. The hotel also provides other facilities like parking, laundry, dry cleaning, doctor-on-call, and much more.Why should you stay here? Besides being strategically located, the hotel offers relaxing and soothing environment along with good food and facilities at a budget price.",Jodhpur,18.0,1624.0,2.0,2.0,53742.0,4.0,3.0,106.0,1.0,14.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,"What should you know? The Riverwood Forest Retreats is part of the Dooars in North Bengal and set amidst the mountains of the foothills of the Himalayas. The rooms are spacious and fitted with modern amenities. The facilities provided to guests include car parking space, travel assistance, room service, a front office, and laundry service. The Retreat is in Dakshin Dhupjhora near Chalsa overlooking the Gorumara National Park and Murti River. There is a multi-cuisine restaurant in the retreat that serves Indian and Pan Asian food. Some activities that guests can indulge in are nature walks, cycling, trekking, and jeep safaris.Why should you stay here? The Riverwood Forest Retreats is an ideal place to spend a quiet vacation surrounded by the best nature has to offer.",Jalpaiguri,9.0,3509.0,1.0,2.0,15468.0,7.0,2.0,126.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,"What should you know? Located at a walking distance from the South X Mall, Hotel Vijay Inter Continental provides a wide range of services to its guests such as Wi-Fi access, a doctor-on-call, a gym, a swimming pool, babysitting facility, car rental, 24-hour room service, a TV with cable connection, a minibar, a coffee shop, an in-house restaurant, direct-dial STD / ISD phones, laundry service, a bar/lounge, valet parking, banquet facilities, and an in-room tea/coffee maker. The hotel has a total of 95 rooms that are distributed in the form of deluxe, executive, suites and presidential suites.Why should you stay here? The hotel is close to several tourist spots such as Phool Bagh, Kanpur Memorial Church, Allen Forest Zoo, Jain glass Temple and Shri Radhakrishna Temple.",Kanpur,5.0,5802.0,2.0,2.0,47032.0,2.0,0.0,126.0,1.0,3.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,"What should you know? The hotel is situated on BC Road . It offers facilities like 24-hour front desk, free parking, power backup, doctor-on-call, taxi service, sightseeing service, laundry service, and luggage storage space. This property offers accommodation in 20 rooms that come with in-rooms amenities like air-conditioning, attached bathroom, hot and cold water, room service, telephone facility, cable television, and a wardrobe. The hotel houses a multi-cuisine restaurant that serves North Indian cuisines.Why should you stay here? Here, family vacationers and leisure travellers are provided with comfortable stay and have the opportunity to visit tourist attractions like Bahu Fort and Raghunath Temple.",Jammu,60.0,1400.0,2.0,2.0,61528.0,5.0,3.0,103.0,1.0,12.0,1.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,"What should you know? Hotel Inn Season Jodhpur is a heritage hotel, which offers 10 luxury suites and 5 rooms. The in-room amenities include refrigerators, cable televisions, wifi connection, shaving mirrors, and dryers. The facilities provided by the hotel are 24-hour room service, laundry service, money exchange, Jodhpur sight-seeing, village safari, and a travel desk. It also has an outdoor pool and offers activities like tennis, golf, snooker and squash.Why should you stay here? Hotel Inn Season Jodhpur gives you a glimpse of the royal lifestyle and provides a pleasant stay.",Jodhpur,,4062.0,2.0,2.0,28525.0,1.0,3.0,91.0,0.0,3.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,"What should you know? This property is located between East Coast main road and the backwater channels of Kaduvaiyaru river. It is a an economy resort that gives the guests a chance to experience the backwaters. The facilities offered in this resort are water villas, boating in lake, wifi, driver rest room, car parking, and a doctor-on-call etc. There is an in-house multi-cuisine restaurant called Grandma that offers home cooked food.Why should you stay here? neha.aggarwal.wpc@gmail.comHi. Please look at this article. It has been edited. And this should give you a good picture of how a hotel info content should look like.",Velankanni,12.0,2878.0,1.0,2.0,22029.0,2.0,1.0,102.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,"What should you know? The hotel is situated in lower R.N Bazar. It offers facilities like front desk, wi-fi access, foreign exchange assistance, parking facility, doctor-on-call, intercom facility, and 24-hour security. This property offers accommodation in 11 rooms that come with amenities like room service, air-conditioning, attached bathroom, cable television, electronic safe, daily housekeeping, and an electronic safe. The hotel also has an in-house multi-cuisine restaurant where guests can enjoy a variety of delectable dishes.Why should you stay here? The hotel provides good accommodation with modern facilities for family vacationers, leisure travellers, and couples.",Jammu,32.0,979.0,2.0,2.0,61628.0,2.0,3.0,94.0,0.0,9.0,0.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,"What should you know? A state of the art structure, this hotel offers good ambience, warm hospitality, and relaxing accommodation. Crafted to suit the needs and desires of business travellers as well as leisure seekers, the hotel is an ideal stop-over choice. The hotel offers comfortable accommodation in its rooms, which are categorised into Family Suite, Deluxe, Executive, and Standard AC rooms. All the rooms in the hotel are spacious, well maintained, and equipped with facilities like a private bathroom, colour television, and telephone. The hotel provides services like parking, security, doctor-on-call, concierge, bar, and a restaurant.Why should you stay here? Besides being strategically located, the hotel offers a relaxing and soothing environment along with good food and facilities.",Jodhpur,41.0,2445.0,2.0,2.0,54666.0,6.0,3.0,119.0,0.0,12.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
